year,district_city,area_type,murder_incidence,murder_victims,murder_rate,culpable_homicide_incidence,culpable_homicide_victims,culpable_homicides_rate,causing_death_by_negligence_incidence,causing_death_by_negligence_victims,causing_death_by_negligence_rate,murder_incidents
2025,Dindigul,district,34.0,35,2.7,5.0,5.0,0.4,402.0,402.0,31.7,
2025,Erode,district,20.0,21,1.5,2.0,2.0,0.1,362.0,378.0,27.4,
2025,Kallakurichi,district,13.0,15,1.5,2.0,2.0,0.2,157.0,171.0,19.2,
2025,Kanchipuram,district,20.0,20,3.7,0.0,0.0,0.0,162.0,167.0,30.4,
2025,Kanyakumari,district,17.0,18,1.6,6.0,7.0,0.5,180.0,195.0,16.4,
2025,Karur,district,10.0,10,1.6,1.0,1.0,0.1,193.0,198.0,30.8,
2025,Krishnagiri,district,32.0,35,2.9,1.0,1.0,0.0,398.0,449.0,36.1,
2025,Madurai,district,86.0,87,2.9,4.0,4.0,0.1,782.0,782.0,26.7,
2025,Mayiladuthurai,district,9.0,10,1.0,5.0,5.0,0.5,138.0,142.0,15.4,
2025,Nagapattinam,district,8.0,8,2.0,2.0,2.0,0.4,70.0,103.0,17.1,
2025,Namakkal,district,19.0,20,1.9,0.0,0.0,0.0,306.0,353.0,30.2,
2025,Nilgiris,district,6.0,6,1.3,1.0,1.0,0.1,34.0,34.0,7.8,
2025,Perambalur,district,7.0,7,2.0,0.0,0.0,0.0,94.0,114.0,28.4,
2025,Pudukottai,district,16.0,16,1.7,2.0,2.0,0.2,233.0,233.0,24.5,
2025,Ramnathapuram,district,20.0,20,2.5,2.0,2.0,0.3,221.0,233.0,27.9,
2025,Ranipet,district,12.0,14,1.7,1.0,1.0,0.1,145.0,155.0,20.6,
2025,Salem,district,25.0,25,1.6,3.0,3.0,0.2,296.0,315.0,19.0,
2025,Sivagangai,district,23.0,25,2.9,1.0,1.0,0.1,210.0,242.0,26.7,
2025,Tenkasi,district,21.0,24,2.6,2.0,2.0,0.2,131.0,142.0,15.6,
2025,Thanjavur,district,28.0,28,2.0,2.0,2.0,0.2,323.0,334.0,22.9,
2025,Theni,district,25.0,25,3.5,3.0,3.0,0.5,177.0,184.0,24.2,
2025,Thirunelveli,district,26.0,26,3.7,1.0,1.0,0.2,166.0,175.0,24.0,
2025,Thiruvallur,district,16.0,16,1.2,4.0,4.0,0.3,163.0,172.0,11.8,
2025,Thiruvannamalai,district,19.0,19,1.3,4.0,4.0,0.3,356.0,408.0,24.7,
2025,Thiruvarur,district,10.0,10,1.3,2.0,2.0,0.3,121.0,124.0,16.3,
2025,Thoothukudi,district,41.0,41,4.0,4.0,6.0,0.4,258.0,273.0,25.1,
2025,Tiruppattur,district,10.0,10,1.5,2.0,12.0,0.3,110.0,131.0,15.9,
2025,Tiruppur,district,17.0,17,1.4,1.0,1.0,0.0,394.0,395.0,33.0,
2025,Trichy,district,25.0,25,2.3,1.0,1.0,0.1,290.0,305.0,26.4,
2025,Vellore,district,13.0,13,1.4,7.0,7.0,0.8,172.0,172.0,18.8,
2025,Villupuram,district,19.0,21,1.6,4.0,4.0,0.3,285.0,301.0,23.6,
2025,Virudhunagar,district,34.0,38,2.9,0.0,0.0,0.0,257.0,299.0,22.5,
2025,Cyber Cell,special_unit,0.0,0,,0.0,0.0,,0.0,0.0,,
2025,Other Units,special_unit,0.0,0,,0.0,0.0,,0.0,0.0,,
2025,Railway Chennai,special_unit,15.0,15,,0.0,0.0,,2.0,2.0,,
2025,Railway Trichy,special_unit,1.0,1,,1.0,1.0,,0.0,0.0,,
