year,district_city,area_type,complaints_total_oral_complaints,complaints_oral_narrated_to_oc_sho,complaints_oral_distress_call_over_phone_dial_100,complaints_total_written_complaints_to_police,complaints_written_to_oc_sho,complaints_written_to_sp_senior_officers,complaints_written_electronic_form,complaints_written_complaint_to_courts,complaints_written_nhrc_and_shrc,complaints_written_scs_commissions,complaints_written_sts_commissions,complaints_written_ncw_scw,complaints_written_child_welfare_boards_commissions,complaints_suo_moto_police_complaints,complaints_other_written_complaints,complaints_total_complaints,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_victims_v,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,women_crimes_assault_on_women_i,women_crimes_assault_on_women_v,women_crimes_assault_on_women_r,women_crimes_sexual_harassment_total_i,women_crimes_sexual_harassment_total_v,women_crimes_sexual_harassment_total_r,women_crimes_sh_at_work_premises_i,women_crimes_sh_at_work_premises_v,women_crimes_sh_at_work_premises_r,women_crimes_sh_in_public_transport_i,women_crimes_sh_in_public_transport_v,women_crimes_sh_in_public_transport_r,women_crimes_sh_in_shelter_homes_for_women_and_children_i,women_crimes_sh_in_shelter_homes_for_women_and_children_v,women_crimes_sh_in_shelter_homes_for_women_and_children_r,women_crimes_sh_in_other_places_i,women_crimes_sh_in_other_places_v,women_crimes_sh_in_other_places_r,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,women_crimes_voyeurism_i,women_crimes_voyeurism_v,women_crimes_voyeurism_r,women_crimes_stalking_i,women_crimes_stalking_v,women_crimes_stalking_r,women_crimes_rape_sec_376_i,women_crimes_rape_v,women_crimes_rape_r,women_crimes_attempt_to_commit_rape_sec_376_511_i,women_crimes_attempt_to_commit_rape_v,women_crimes_attempt_to_commit_rape_r,murder_homicide_murder_incidence,murder_homicide_murder_victims,murder_homicide_murder_rate,murder_homicide_culpable_homicide_incidence,murder_homicide_culpable_homicide_victims,murder_homicide_culpable_homicides_rate,murder_homicide_causing_death_by_negligence_incidence,murder_homicide_causing_death_by_negligence_victims,murder_homicide_causing_death_by_negligence_rate,complaints_oral_share,complaints_written_share,murder_victim_to_incident_ratio,rape_victim_to_incident_ratio
2023,Theni,district,10254,0,10254,41798,4739,5640,3362,32,36,1,0,53,0,6357,21578,52052,33,33,5.0,22,22,3.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.3,3,3,0.5,6,6,0.9,10,10,1.5,4,4,0.6,46,46,3.5,6,6,0.5,322,335,24.2,0.19699531237992776,0.8030046876200723,1.0,1.0
2023,Thirunelveli,district,8429,0,8429,46471,6644,2094,3679,50,0,0,0,0,12,3646,30346,54900,90,90,14.3,51,51,8.1,17,17,2.7,2,2,0.3,0,0,0.0,6,6,1.0,9,9,1.4,6,6,1.0,8,8,1.3,8,8,1.3,9,9,1.4,2,2,0.3,47,47,3.7,2,2,0.2,302,318,24.0,0.1535336976320583,0.8464663023679417,1.0,1.0
2023,Thiruvallur,district,7324,0,7324,50183,4598,3267,10981,1,21,22,0,39,2,7390,23862,57507,22,22,1.7,13,13,1.0,2,2,0.2,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2,1,1,0.1,3,3,0.2,3,3,0.2,8,8,0.6,0,0,0.0,30,30,1.2,7,7,0.3,297,312,11.8,0.12735840854156885,0.8726415914584311,1.0,1.0
2023,Thiruvannamalai,district,14274,0,14274,55031,7149,4531,6228,5,0,0,0,0,0,8244,28874,69305,22,22,1.7,15,15,1.1,5,5,0.4,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,1,1,0.1,0,0,0.0,1,1,0.1,16,16,1.2,1,1,0.1,35,35,1.3,7,7,0.3,648,742,24.7,0.20595916600533873,0.7940408339946613,1.0,1.0
2023,Thiruvarur,district,6874,0,6874,36859,6586,2252,5041,0,43,16,0,45,0,6950,15926,43733,39,39,5.8,34,34,5.0,2,2,0.3,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.3,1,1,0.1,0,0,0.0,2,2,0.3,7,7,1.0,0,0,0.0,18,18,1.3,4,4,0.3,220,226,16.3,0.15718107607527496,0.842818923924725,1.0,1.0
2023,Thoothukudi,district,18403,0,18403,60832,6595,3689,4994,77,7,8,0,0,0,5025,40437,79235,68,68,7.3,35,35,3.7,22,22,2.4,0,0,0.0,0,0,0.0,0,0,0.0,22,22,2.4,6,6,0.6,3,3,0.3,2,2,0.2,11,11,1.2,3,3,0.3,74,75,4.0,7,10,0.4,469,496,25.1,0.2322584716350098,0.7677415283649902,1.0135135135135136,1.0
2023,Tiruppattur,district,9038,0,9038,26294,1564,4493,1930,8,0,0,0,1,0,6189,12109,35332,9,9,1.4,5,5,0.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,1,1,0.2,2,2,0.3,4,4,0.6,2,2,0.3,19,19,1.5,4,21,0.3,200,239,15.9,0.25580210573983925,0.7441978942601608,1.0,1.0
2023,Tiruppur,district,265,0,265,30121,4713,2432,2754,12,0,0,0,0,17,5567,14626,30386,10,10,0.9,10,10,0.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.5,0,0,0.0,31,31,1.4,1,1,0.0,716,719,33.0,0.008721121569143685,0.9912788784308563,1.0,1.0
2023,Trichy,district,19331,0,19331,21457,4982,3149,3270,37,0,0,0,0,0,5326,4693,40788,49,49,4.9,42,42,4.2,6,6,0.6,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.6,0,0,0.0,0,0,0.0,1,1,0.1,13,13,1.3,2,2,0.2,45,46,2.3,1,1,0.1,528,555,26.4,0.4739384132588016,0.5260615867411984,1.0222222222222221,1.0
2023,Vellore,district,12108,0,12108,43901,9305,3105,4673,0,26,22,1,53,3,5538,21175,56009,14,14,1.7,14,14,1.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.6,0,0,0.0,24,24,1.4,13,13,0.8,312,313,18.8,0.21617954257351496,0.783820457426485,1.0,1.0
